DATE,START,END,DURATION,ID,TOPIC
12/09/2020,11:59,12:56,57.0,181,EXCEL_VBA
12/10/2020,05:31,06:23,52.0,181,SQL
12/11/2020,14:00,15:00,60.0,181,EXCEL_VBA
12/14/2020,15:00,16:40,100.0,27,JAVASCRIPT
12/18/2020,07:59,08:55,56.0,60,SQL
12/26/2020,19:55,20:58,63.0,60,JAVASCRIPT
12/28/2020,19:51,20:51,60.0,239,HTML_CSS
12/30/2020,15:57,16:47,50.0,27,JAVASCRIPT
1/2/2021,19:59,20:52,53.0,60,JAVASCRIPT
01/08/2021,07:00,07:54,54.0,226,EXCEL_VBA
01/08/2021,08:00,08:50,50.0,60,JAVASCRIPT
01/09/2021,18:55,19:50,55.0,69,EXCEL_VBA
01/09/2021,09:00,09:54,54.0,181,EXCEL_VBA
01/11/2021,12:00,12:52,52.0,226,PYTHON_PANDAS_MATPLOTLIB
01/11/2021,20:01,20:52,51.0,239,COMPUTER_SCIENCE
01/14/2021,15:00,15:58,58.0,27,NODE_EXPRESS
01/14/2021,19:57,20:47,50.0,60,JAVASCRIPT
01/16/2021,21:01,22:00,59.0,69,PYTHON_PANDAS_MATPLOTLIB
01/18/2021,20:00,20:50,50.0,27,NODE_EXPRESS
01/22/2021,06:58,07:53,55.0,226,PYTHON_PANDAS_MATPLOTLIB
01/22/2021,20:00,20:52,52.0,60,JAVASCRIPT
01/23/2021,20:00,21:07,67.0,239,JAVASCRIPT
01/24/2021,06:00,06:57,57.0,69,PYTHON_PANDAS_MATPLOTLIB
01/26/2021,15:00,15:51,51.0,27,JAVASCRIPT
01/28/2021,17:00,18:38,98.0,239,GIT
01/28/2021,18:55,19:51,56.0,92,GIT
01/29/2021,13:57,14:53,56.0,157,PYTHON_PANDAS_MATPLOTLIB
01/22/2021,20:00,20:50,50.0,60,APIS
01/31/2021,16:58,17:51,53.0,69,PYTHON_PANDAS_MATPLOTLIB
01/31/2021,21:56,22:51,55.0,27,APIS
