ID,BOOTCAMP,TIMEZONE
27,FULL_STACK,PACIFIC
38,FULL_STACK,CENTRAL
96,DATA,PACIFIC
237,DATA,AWST
80,DATA,AWST
34,DATA,AWST
247,DATA,AWST
255,DATA,AWST
60,FULL_STACK,PACIFIC
254,DATA,PACIFIC
69,DATA,EASTERN
226,DATA,EASTERN
157,DATA,EASTERN
209,DATA,EASTERN
144,DATA,PACIFIC
139,DATA,EASTERN
26,DATA,EASTERN
20,DATA,EASTERN
198,DATA,EASTERN
167,DATA,EASTERN
98,FULL_STACK,PACIFIC
239,FULL_STACK,PACIFIC
9,DATA,EASTERN
108,DATA,PACIFIC
172,DATA,PACIFIC
240,DATA,PACIFIC
156,DATA,MOUNTAIN
12,DATA,MOUNTAIN
33,DATA,EASTERN
189,DATA,EASTERN
3,DATA,AEST
47,DATA,PACIFIC
244,DATA,CENTRAL
179,DATA,CENTRAL
10,FULL_STACK,PACIFIC
92,FULL_STACK,PACIFIC
17,DATA,EASTERN
72,DATA,EASTERN
112,DATA,PACIFIC
71,DATA,PACIFIC
149,DATA,CENTRAL
194,DATA,CENTRAL
253,DATA,PACIFIC
165,DATA,AWST
241,DATA,CENTRAL
64,DATA,MOUNTAIN
88,DATA,MOUNTAIN
131,DATA,CENTRAL
93,DATA,PACIFIC
143,DATA,PACIFIC
150,DATA,EASTERN
171,DATA,EASTERN
225,DATA,EASTERN
74,DATA,EASTERN
177,DATA,EASTERN
132,DATA,EASTERN
252,DATA,EASTERN
203,DATA,EASTERN
196,DATA,CENTRAL
168,DATA,PACIFIC
35,DATA,CENTRAL
14,DATA,AWST
217,DATA,AWST
242,DATA,AWST
44,DATA,EASTERN
79,DATA,EASTERN
186,DATA,EASTERN
100,DATA,EASTERN
158,DATA,PACIFIC
120,DATA,EASTERN
118,DATA,MOUNTAIN
109,DATA,EASTERN
23,DATA,EASTERN
2,DATA,EASTERN
36,DATA,EASTERN
166,DATA,EASTERN
163,DATA,EASTERN
147,DATA,CENTRAL
152,DATA,AWST
207,DATA,IRELAND
248,DATA,EASTERN
191,DATA,IRELAND
4,FULL_STACK,EASTERN
188,FULL_STACK,MOUNTAIN
210,DATA,CENTRAL
81,DATA,CENTRAL
224,DATA,PACIFIC
175,FULL_STACK,EASTERN
195,DATA,EASTERN
125,DATA,EASTERN
117,DATA,EASTERN
123,DATA,PACIFIC
173,DATA,EASTERN
63,DATA,EASTERN
76,FULL_STACK,PACIFIC
153,DATA,AEST
133,FULL_STACK,EASTERN
236,DATA,PACIFIC
90,DATA,EASTERN
89,DATA,EASTERN
82,FULL_STACK,EASTERN
114,DATA,EASTERN
223,DATA,PACIFIC
0,DATA,EASTERN
208,DATA,CENTRAL
22,FULL_STACK,IRELAND
51,DATA,EASTERN
126,DATA,PACIFIC
85,FULL_STACK,EASTERN
50,DATA,PACIFIC
137,DATA,PACIFIC
249,DATA,EASTERN
48,FULL_STACK,CENTRAL
148,DATA,EASTERN
40,DATA,CENTRAL
183,FULL_STACK,CENTRAL
16,DATA,CENTRAL
78,FULL_STACK,ARIZONA
202,FULL_STACK,EASTERN
138,FULL_STACK,EASTERN
205,DATA,EASTERN
245,FULL_STACK,EASTERN
141,DATA,EASTERN
21,FULL_STACK,PACIFIC
121,DATA,PACIFIC
212,FULL_STACK,MOUNTAIN
218,FULL_STACK,PACIFIC
238,DATA,CENTRAL
53,FULL_STACK,CENTRAL
32,FULL_STACK,PACIFIC
160,DATA,CENTRAL
94,FULL_STACK,ARIZONA
102,FULL_STACK,EASTERN
113,FULL_STACK,PACIFIC
42,DATA,EASTERN
8,FULL_STACK,PACIFIC
5,FULL_STACK,EASTERN
75,DATA,EASTERN
220,DATA,EASTERN
29,FULL_STACK,PACIFIC
52,DATA,EASTERN
127,FULL_STACK,CENTRAL
182,FULL_STACK,MOUNTAIN
46,DATA,CENTRAL
124,DATA,EASTERN
49,FULL_STACK,PACIFIC
232,DATA,EASTERN
215,DATA,EASTERN
151,FULL_STACK,MOUNTAIN
37,DATA,CENTRAL
243,DATA,PACIFIC
95,FULL_STACK,PACIFIC
28,FULL_STACK,EASTERN
164,DATA,PACIFIC
199,DATA,EASTERN
30,FULL_STACK,IRELAND
190,FULL_STACK,PACIFIC
105,FULL_STACK,EASTERN
56,FULL_STACK,MOUNTAIN
233,FULL_STACK,CENTRAL
176,DATA,MOUNTAIN
185,DATA,PACIFIC
84,DATA,CENTRAL
187,FULL_STACK,AUCKLAND
222,DATA,EASTERN
136,FULL_STACK,MOUNTAIN
256,DATA,PACIFIC
107,FULL_STACK,CENTRAL
170,DATA,EASTERN
101,DATA,EASTERN
91,FULL_STACK,EASTERN
178,DATA,EASTERN
15,DATA,CENTRAL
54,DATA,PACIFIC
231,DATA,PACIFIC
61,DATA,MOUNTAIN
110,DATA,ARIZONA
7,FULL_STACK,EASTERN
192,FULL_STACK,CENTRAL
211,FULL_STACK,CENTRAL
6,FULL_STACK,IRELAND
193,DATA,CENTRAL
184,FULL_STACK,IRELAND
235,FULL_STACK,ATLANTIC
122,FULL_STACK,PACIFIC
6,FULL_STACK,EASTERN
77,DATA,ARIZONA
57,DATA,MOUNTAIN
200,FULL_STACK,PACIFIC
62,DATA,EASTERN
140,DATA,MOUNTAIN
251,DATA,EASTERN
227,DATA,EASTERN
67,DATA,EASTERN
13,DATA,CENTRAL
65,FULL_STACK,EASTERN
24,DATA,EASTERN
103,FULL_STACK,PACIFIC
19,FULL_STACK,CENTRAL
59,DATA,EASTERN
70,DATA,IRELAND
84,DATA,CENTRAL
130,DATA,EASTERN
219,FULL_STACK,IRELAND
1,DATA,CENTRAL
169,DATA,PACIFIC
134,FULL_STACK,IRELAND
43,FULL_STACK,EASTERN
87,FULL_STACK,PACIFIC
250,DATA,PACIFIC
162,FULL_STACK,PACIFIC
146,DATA,PACIFIC
155,FULL_STACK,CENTRAL
11,FULL_STACK,EASTERN
55,FULL_STACK,EASTERN
129,DATA,MOUNTAIN
206,DATA,EASTERN
180,FULL_STACK,EASTERN
142,DATA,EASTERN
111,DATA,CENTRAL
229,FULL_STACK,EASTERN
31,DATA,EASTERN
228,FULL_STACK,CENTRAL
25,DATA,EASTERN
154,FULL_STACK,EASTERN
214,DATA,PACIFIC
58,FULL_STACK,EASTERN
83,FULL_STACK,EASTERN
18,DATA,PACIFIC
213,DATA,EASTERN
221,DATA,EASTERN
99,FULL_STACK,CENTRAL
115,DATA,CENTRAL
39,FULL_STACK,MOUNTAIN
104,FULL_STACK,EASTERN
201,DATA,CENTRAL
116,DATA,MOUNTAIN
234,DATA,EASTERN
68,DATA,EASTERN
97,DATA,CENTRAL
174,DATA,CENTRAL
204,FULL_STACK,EASTERN
128,DATA,EASTERN
161,DATA,MOUNTAIN
216,DATA,CENTRAL
197,DATA,EASTERN
246,FULL_STACK,CENTRAL
145,DATA,AWST
230,DATA,PACIFIC
159,DATA,CENTRAL
41,DATA,EASTERN
119,DATA,PACIFIC
135,DATA,CENTRAL
45,DATA,EASTERN
73,DATA,EASTERN
106,DATA,EASTERN
66,DATA,EASTERN
86,FULL_STACK,CENTRAL
