ID,BOOTCAMP,TIMEZONE
43,FULL_STACK,PACIFIC
57,FULL_STACK,CENTRAL
138,DATA,PACIFIC
335,DATA,AWST
113,DATA,AWST
53,DATA,AWST
348,DATA,AWST
359,DATA,AWST
88,FULL_STACK,PACIFIC
357,DATA,PACIFIC
97,DATA,EASTERN
320,DATA,EASTERN
222,DATA,EASTERN
299,DATA,EASTERN
206,DATA,PACIFIC
199,DATA,EASTERN
42,DATA,EASTERN
36,DATA,EASTERN
284,DATA,EASTERN
236,DATA,EASTERN
141,FULL_STACK,PACIFIC
337,FULL_STACK,PACIFIC
16,DATA,EASTERN
154,DATA,PACIFIC
246,DATA,PACIFIC
338,DATA,PACIFIC
221,DATA,MOUNTAIN
20,DATA,MOUNTAIN
51,DATA,EASTERN
271,DATA,EASTERN
7,DATA,AEST
70,DATA,PACIFIC
345,DATA,CENTRAL
253,DATA,CENTRAL
17,FULL_STACK,PACIFIC
132,FULL_STACK,PACIFIC
28,DATA,EASTERN
102,DATA,EASTERN
158,DATA,PACIFIC
100,DATA,PACIFIC
213,DATA,CENTRAL
278,DATA,CENTRAL
356,DATA,PACIFIC
234,DATA,AWST
340,DATA,CENTRAL
92,DATA,MOUNTAIN
126,DATA,MOUNTAIN
182,DATA,CENTRAL
134,DATA,PACIFIC
205,DATA,PACIFIC
214,DATA,EASTERN
244,DATA,EASTERN
319,DATA,EASTERN
105,DATA,EASTERN
251,DATA,EASTERN
188,DATA,EASTERN
353,DATA,EASTERN
292,DATA,EASTERN
281,DATA,CENTRAL
239,DATA,PACIFIC
54,DATA,CENTRAL
23,DATA,AWST
310,DATA,AWST
341,DATA,AWST
67,DATA,EASTERN
111,DATA,EASTERN
265,DATA,EASTERN
144,DATA,EASTERN
224,DATA,PACIFIC
169,DATA,EASTERN
167,DATA,MOUNTAIN
155,DATA,EASTERN
39,DATA,EASTERN
6,DATA,EASTERN
55,DATA,EASTERN
235,DATA,EASTERN
232,DATA,EASTERN
210,DATA,CENTRAL
217,DATA,AWST
297,DATA,IRELAND
349,DATA,EASTERN
273,DATA,IRELAND
9,FULL_STACK,EASTERN
270,FULL_STACK,MOUNTAIN
300,DATA,CENTRAL
115,DATA,CENTRAL
318,DATA,PACIFIC
249,FULL_STACK,EASTERN
280,DATA,EASTERN
175,DATA,EASTERN
166,DATA,EASTERN
173,DATA,PACIFIC
247,DATA,EASTERN
91,DATA,EASTERN
107,FULL_STACK,PACIFIC
218,DATA,AEST
192,FULL_STACK,EASTERN
334,DATA,PACIFIC
128,DATA,EASTERN
127,DATA,EASTERN
116,FULL_STACK,EASTERN
163,DATA,EASTERN
316,DATA,PACIFIC
3,DATA,EASTERN
298,DATA,CENTRAL
38,FULL_STACK,IRELAND
75,DATA,EASTERN
176,DATA,PACIFIC
121,FULL_STACK,EASTERN
74,DATA,PACIFIC
196,DATA,PACIFIC
350,DATA,EASTERN
71,FULL_STACK,CENTRAL
211,DATA,EASTERN
60,DATA,CENTRAL
259,FULL_STACK,CENTRAL
27,DATA,CENTRAL
109,FULL_STACK,ARIZONA
291,FULL_STACK,EASTERN
198,FULL_STACK,EASTERN
294,DATA,EASTERN
346,FULL_STACK,EASTERN
202,DATA,EASTERN
37,FULL_STACK,PACIFIC
171,DATA,PACIFIC
303,FULL_STACK,MOUNTAIN
311,FULL_STACK,PACIFIC
336,DATA,CENTRAL
78,FULL_STACK,CENTRAL
50,FULL_STACK,PACIFIC
228,DATA,CENTRAL
135,FULL_STACK,ARIZONA
148,FULL_STACK,EASTERN
159,FULL_STACK,PACIFIC
65,DATA,EASTERN
15,FULL_STACK,PACIFIC
10,FULL_STACK,EASTERN
106,DATA,EASTERN
313,DATA,EASTERN
46,FULL_STACK,PACIFIC
76,DATA,EASTERN
177,FULL_STACK,CENTRAL
257,FULL_STACK,MOUNTAIN
69,DATA,CENTRAL
174,DATA,EASTERN
73,FULL_STACK,PACIFIC
327,DATA,EASTERN
306,DATA,EASTERN
216,FULL_STACK,MOUNTAIN
56,DATA,CENTRAL
343,DATA,PACIFIC
137,FULL_STACK,PACIFIC
44,FULL_STACK,EASTERN
233,DATA,PACIFIC
286,DATA,EASTERN
48,FULL_STACK,IRELAND
272,FULL_STACK,PACIFIC
151,FULL_STACK,EASTERN
