ID,BOOTCAMP,TIMEZONE
28,FULL_STACK,PACIFIC
41,FULL_STACK,CENTRAL
102,DATA,PACIFIC
250,DATA,AWST
84,DATA,AWST
37,DATA,AWST
260,DATA,AWST
268,DATA,AWST
63,FULL_STACK,PACIFIC
267,DATA,PACIFIC
72,DATA,EASTERN
239,DATA,EASTERN
169,DATA,EASTERN
222,DATA,EASTERN
154,DATA,PACIFIC
149,DATA,EASTERN
27,DATA,EASTERN
21,DATA,EASTERN
211,DATA,EASTERN
180,DATA,EASTERN
104,FULL_STACK,PACIFIC
252,FULL_STACK,PACIFIC
10,DATA,EASTERN
114,DATA,PACIFIC
185,DATA,PACIFIC
253,DATA,PACIFIC
168,DATA,MOUNTAIN
13,DATA,MOUNTAIN
36,DATA,EASTERN
202,DATA,EASTERN
4,DATA,AEST
50,DATA,PACIFIC
257,DATA,CENTRAL
192,DATA,CENTRAL
11,FULL_STACK,PACIFIC
98,FULL_STACK,PACIFIC
18,DATA,EASTERN
76,DATA,EASTERN
118,DATA,PACIFIC
74,DATA,PACIFIC
160,DATA,CENTRAL
207,DATA,CENTRAL
266,DATA,PACIFIC
178,DATA,AWST
254,DATA,CENTRAL
67,DATA,MOUNTAIN
93,DATA,MOUNTAIN
138,DATA,CENTRAL
99,DATA,PACIFIC
153,DATA,PACIFIC
161,DATA,EASTERN
184,DATA,EASTERN
238,DATA,EASTERN
78,DATA,EASTERN
190,DATA,EASTERN
141,DATA,EASTERN
265,DATA,EASTERN
216,DATA,EASTERN
209,DATA,CENTRAL
181,DATA,PACIFIC
38,DATA,CENTRAL
15,DATA,AWST
230,DATA,AWST
255,DATA,AWST
47,DATA,EASTERN
83,DATA,EASTERN
199,DATA,EASTERN
106,DATA,EASTERN
170,DATA,PACIFIC
126,DATA,EASTERN
124,DATA,MOUNTAIN
115,DATA,EASTERN
24,DATA,EASTERN
3,DATA,EASTERN
39,DATA,EASTERN
179,DATA,EASTERN
176,DATA,EASTERN
157,DATA,CENTRAL
164,DATA,AWST
220,DATA,IRELAND
261,DATA,EASTERN
204,DATA,IRELAND
5,FULL_STACK,EASTERN
201,FULL_STACK,MOUNTAIN
223,DATA,CENTRAL
86,DATA,CENTRAL
237,DATA,PACIFIC
188,FULL_STACK,EASTERN
208,DATA,EASTERN
132,DATA,EASTERN
123,DATA,EASTERN
130,DATA,PACIFIC
186,DATA,EASTERN
66,DATA,EASTERN
80,FULL_STACK,PACIFIC
165,DATA,AEST
143,FULL_STACK,EASTERN
249,DATA,PACIFIC
95,DATA,EASTERN
94,DATA,EASTERN
87,FULL_STACK,EASTERN
120,DATA,EASTERN
236,DATA,PACIFIC
1,DATA,EASTERN
221,DATA,CENTRAL
23,FULL_STACK,IRELAND
54,DATA,EASTERN
133,DATA,PACIFIC
90,FULL_STACK,EASTERN
53,DATA,PACIFIC
147,DATA,PACIFIC
262,DATA,EASTERN
51,FULL_STACK,CENTRAL
158,DATA,EASTERN
43,DATA,CENTRAL
196,FULL_STACK,CENTRAL
17,DATA,CENTRAL
82,FULL_STACK,ARIZONA
215,FULL_STACK,EASTERN
148,FULL_STACK,EASTERN
218,DATA,EASTERN
258,FULL_STACK,EASTERN
151,DATA,EASTERN
22,FULL_STACK,PACIFIC
128,DATA,PACIFIC
225,FULL_STACK,MOUNTAIN
231,FULL_STACK,PACIFIC
251,DATA,CENTRAL
56,FULL_STACK,CENTRAL
35,FULL_STACK,PACIFIC
173,DATA,CENTRAL
100,FULL_STACK,ARIZONA
108,FULL_STACK,EASTERN
119,FULL_STACK,PACIFIC
45,DATA,EASTERN
9,FULL_STACK,PACIFIC
6,FULL_STACK,EASTERN
79,DATA,EASTERN
233,DATA,EASTERN
31,FULL_STACK,PACIFIC
55,DATA,EASTERN
134,FULL_STACK,CENTRAL
195,FULL_STACK,MOUNTAIN
49,DATA,CENTRAL
131,DATA,EASTERN
52,FULL_STACK,PACIFIC
245,DATA,EASTERN
228,DATA,EASTERN
163,FULL_STACK,MOUNTAIN
40,DATA,CENTRAL
256,DATA,PACIFIC
101,FULL_STACK,PACIFIC
29,FULL_STACK,EASTERN
177,DATA,PACIFIC
212,DATA,EASTERN
33,FULL_STACK,IRELAND
203,FULL_STACK,PACIFIC
111,FULL_STACK,EASTERN
59,FULL_STACK,MOUNTAIN
246,FULL_STACK,CENTRAL
189,DATA,MOUNTAIN
198,DATA,PACIFIC
89,DATA,CENTRAL
200,FULL_STACK,AUCKLAND
235,DATA,EASTERN
146,FULL_STACK,MOUNTAIN
269,DATA,PACIFIC
113,FULL_STACK,CENTRAL
183,DATA,EASTERN
107,DATA,EASTERN
97,FULL_STACK,EASTERN
191,DATA,EASTERN
16,DATA,CENTRAL
57,DATA,PACIFIC
244,DATA,PACIFIC
64,DATA,MOUNTAIN
116,DATA,ARIZONA
8,FULL_STACK,EASTERN
205,FULL_STACK,CENTRAL
224,FULL_STACK,CENTRAL
7,FULL_STACK,IRELAND
206,DATA,CENTRAL
197,FULL_STACK,IRELAND
248,FULL_STACK,ATLANTIC
129,FULL_STACK,PACIFIC
7,FULL_STACK,EASTERN
81,DATA,ARIZONA
60,DATA,MOUNTAIN
213,FULL_STACK,PACIFIC
65,DATA,EASTERN
150,DATA,MOUNTAIN
264,DATA,EASTERN
240,DATA,EASTERN
70,DATA,EASTERN
14,DATA,CENTRAL
68,FULL_STACK,EASTERN
25,DATA,EASTERN
109,FULL_STACK,PACIFIC
20,FULL_STACK,CENTRAL
62,DATA,EASTERN
73,DATA,IRELAND
89,DATA,CENTRAL
137,DATA,EASTERN
232,FULL_STACK,IRELAND
2,DATA,CENTRAL
182,DATA,PACIFIC
144,FULL_STACK,IRELAND
46,FULL_STACK,EASTERN
92,FULL_STACK,PACIFIC
263,DATA,PACIFIC
175,FULL_STACK,PACIFIC
156,DATA,PACIFIC
167,FULL_STACK,CENTRAL
12,FULL_STACK,EASTERN
58,FULL_STACK,EASTERN
136,DATA,MOUNTAIN
219,DATA,EASTERN
193,FULL_STACK,EASTERN
152,DATA,EASTERN
117,DATA,CENTRAL
242,FULL_STACK,EASTERN
34,DATA,EASTERN
241,FULL_STACK,CENTRAL
26,DATA,EASTERN
166,FULL_STACK,EASTERN
227,DATA,PACIFIC
61,FULL_STACK,EASTERN
88,FULL_STACK,EASTERN
19,DATA,PACIFIC
226,DATA,EASTERN
234,DATA,EASTERN
105,FULL_STACK,CENTRAL
121,DATA,CENTRAL
42,FULL_STACK,MOUNTAIN
110,FULL_STACK,EASTERN
214,DATA,CENTRAL
122,DATA,MOUNTAIN
247,DATA,EASTERN
71,DATA,EASTERN
103,DATA,CENTRAL
187,DATA,CENTRAL
217,FULL_STACK,EASTERN
135,DATA,EASTERN
174,DATA,MOUNTAIN
229,DATA,CENTRAL
210,DATA,EASTERN
259,FULL_STACK,CENTRAL
155,DATA,AWST
243,DATA,PACIFIC
172,DATA,CENTRAL
44,DATA,EASTERN
125,DATA,PACIFIC
145,DATA,CENTRAL
48,DATA,EASTERN
77,DATA,EASTERN
112,DATA,EASTERN
69,DATA,EASTERN
91,FULL_STACK,CENTRAL
159,FULL_STACK,ARIZONA
75,DATA,EASTERN
0,DATA,CENTRAL
142,DATA,EASTERN
30,DATA,MOUNTAIN
140,DATA,EASTERN
127,DATA,EASTERN
85,DATA,EASTERN
96,FULL_STACK,EASTERN
162,DATA,MOUNTAIN
32,DATA,EASTERN
171,DATA,CENTRAL
139,DATA,EASTERN
